mu,delta,n123,n12,n3,n4
-2.0,-1.0,3.0000000000000004,2.0000000000000004,1.0000000000000004,1.4411244948216808e-30
-2.0,-0.7777777777777778,3.0,2.0,1.0,8.804326005891423e-31
-2.0,-0.5555555555555556,2.9999999999999996,1.9999999999999996,0.9999999999999996,6.382842603628933e-31
-2.0,-0.3333333333333333,2.9999999999999996,1.9999999999999996,0.9999999999999996,5.813387083805418e-31
-2.0,-0.1111111111111111,2.999999999999995,1.999999999999997,0.9999999999999987,3.510554076244958e-31
-2.0,0.1111111111111111,2.9999999999999982,1.9999999999999982,0.9999999999999991,6.630250608507617e-31
-2.0,0.3333333333333333,3.0,2.0,1.0,4.813351734041002e-31
-2.0,0.5555555555555556,3.0,2.0,1.0,1.3458394683449517e-30
-2.0,0.7777777777777778,2.9999999999999982,1.9999999999999984,0.9999999999999993,1.4061351173045922e-31
-2.0,1.0,2.9999999999999982,1.9999999999999984,0.9999999999999993,7.540449821078367e-32
-1.5555555555555556,-1.0,2.9999999999999982,1.9999999999999984,0.9999999999999993,3.022369018363456e-31
-1.5555555555555556,-0.7777777777777778,3.0,2.0,1.0,1.438846169443661e-31
-1.5555555555555556,-0.5555555555555556,3.0000000000000018,2.0000000000000018,1.0000000000000009,2.9343370540388866e-31
-1.5555555555555556,-0.3333333333333333,2.9999999999999996,1.9999999999999998,0.9999999999999998,1.7534172832355925e-31
-1.5555555555555556,-0.1111111111111111,2.9999999999999982,1.9999999999999984,0.9999999999999993,1.5905702486072843e-31
-1.5555555555555556,0.1111111111111111,2.9999999999999996,1.9999999999999998,0.9999999999999998,3.1603882396885246e-31
-1.5555555555555556,0.3333333333333333,3.0,2.0,1.0,7.1000567684892715e-31
-1.5555555555555556,0.5555555555555556,3.0,2.0,1.0,1.203823936458359e-31
-1.5555555555555556,0.7777777777777778,2.9999999999999996,1.9999999999999998,0.9999999999999998,5.467135410554867e-32
-1.5555555555555556,1.0,3.0,2.0,1.0,2.2379535932693267e-31
-1.1111111111111112,-1.0,2.2500000000000004,2.0000000000000004,0.25000000000000017,0.10000000000000006
-1.1111111111111112,-0.7777777777777778,2.9999999999999996,1.9999999999999998,0.9999999999999998,5.727783749072612e-31
-1.1111111111111112,-0.5555555555555556,2.9999999999999964,1.999999999999998,0.9999999999999989,3.27818148861828e-31
-1.1111111111111112,-0.3333333333333333,2.9999999999999996,1.9999999999999998,0.9999999999999998,3.1253362883218306e-31
-1.1111111111111112,-0.1111111111111111,3.0,2.0,1.0,1.2556483368196665e-31
-1.1111111111111112,0.1111111111111111,3.0,2.0,1.0,5.009600273024665e-31
-1.1111111111111112,0.3333333333333333,3.0000000000000004,2.0000000000000004,1.0000000000000004,9.661945137148207e-32
-1.1111111111111112,0.5555555555555556,3.0,2.0,1.0,6.383289047688928e-32
-1.1111111111111112,0.7777777777777778,2.999999999999995,1.999999999999997,0.9999999999999987,3.3193317711039386e-31
-1.1111111111111112,1.0,2.9999999999999982,1.9999999999999984,0.9999999999999993,1.1744007737904437e-31
-0.6666666666666666,-1.0,2.2499999999999987,1.9999999999999987,0.24999999999999994,0.09999999999999998
-0.6666666666666666,-0.7777777777777778,2.2500000000000013,2.000000000000001,0.2500000000000001,0.10000000000000005
-0.6666666666666666,-0.5555555555555556,2.9999999999999996,1.9999999999999996,0.9999999999999996,1.4177052130534264e-31
-0.6666666666666666,-0.3333333333333333,3.0000000000000004,2.0000000000000004,1.0000000000000004,2.520260825260631e-31
-0.6666666666666666,-0.1111111111111111,3.0,2.0,1.0,3.3787110375733484e-31
-0.6666666666666666,0.1111111111111111,2.9999999999999996,1.9999999999999996,0.9999999999999996,6.997231223323988e-31
-0.6666666666666666,0.3333333333333333,2.9999999999999996,1.9999999999999996,0.9999999999999996,2.384662696506203e-31
-0.6666666666666666,0.5555555555555556,3.0,2.0,1.0,2.2624277937919788e-31
-0.6666666666666666,0.7777777777777778,3.0,2.0,1.0,3.1156232474547645e-31
-0.6666666666666666,1.0,3.0,2.0,1.0,2.8359207072512574e-30
-0.2222222222222222,-1.0,2.25,1.9999999999999998,0.25,0.1
-0.2222222222222222,-0.7777777777777778,2.249999999999999,2.0,0.24999999999999997,0.09999999999999999
-0.2222222222222222,-0.5555555555555556,2.249999999999999,1.9999999999999991,0.24999999999999994,0.09999999999999998
-0.2222222222222222,-0.3333333333333333,3.0,2.0,1.0,1.351559648837166e-31
-0.2222222222222222,-0.1111111111111111,2.9999999999999982,1.9999999999999982,0.9999999999999991,2.8043768769222635e-31
-0.2222222222222222,0.1111111111111111,2.9999999999999996,1.9999999999999998,0.9999999999999998,2.8727448733073244e-31
-0.2222222222222222,0.3333333333333333,3.0,2.0,1.0,1.4145672398041979e-31
-0.2222222222222222,0.5555555555555556,2.999999999999995,1.999999999999997,0.9999999999999987,1.1983061600301216e-30
-0.2222222222222222,0.7777777777777778,1.4998388170695216,0.4998925447130125,0.9999462723565048,0.20002149105739714
-0.2222222222222222,1.0,1.4998388170695225,0.4998925447130125,0.9999462723565061,0.20002149105739714
0.2222222222222222,-1.0,1.5000000000000024,1.5000000000000024,3.989451783389481e-31,0.2000000000000001
0.2222222222222222,-0.7777777777777778,1.5000000000000013,1.5000000000000013,3.152995855396991e-31,0.20000000000000004
0.2222222222222222,-0.5555555555555556,1.500000000000001,1.500000000000001,6.9934088438724115e-31,0.19999999999999998
0.2222222222222222,-0.3333333333333333,1.5,1.5,6.386821303263432e-31,0.2000000000000001
0.2222222222222222,-0.1111111111111111,2.9999999999999996,1.9999999999999998,0.9999999999999998,2.1532706092358146e-30
